username,password,passwordconfirm,firstname,lastname,address1,address2
jojo,bean,bean,Jojo,Bean,africa,zozo
biba,boba,boba,Bibib,Bobip,Sezam strret,Dagestan
joji,jijo,jijo,Joji,Singer,california,pepper street
billly,master,master,Billy,Herrington,gym,goldgym
van,slave,slave,Van,Dark,dressing ,room
lana,del,del,Lana,Ray,summer,sad
basta,pasta,pasta,noggano,nintendo,gorilla,zippo
valuev,box,box,Value,Valuev,gosduma,ring
melman,giraf,giraf,Mel,Man,Africa,madagaskar
dovakin,tuum,tuum,Dova,Kin,Nirn,Skyrim
